source	register	native_w	native_h	dims_from	axis	centre_lo	centre_hi	slots	claimed	free_anchors	note
Character Sangonomiya Kokomi Game.png	splash	964	1736	pixels	y	0.2111	0.7889	6	6		
Sangonomiya Kokomi Card.png	splash	1080	1920	pixels	y	0.24	0.74	6	6		range restricted to [0.24, 0.74] -- see RESTRICTED_RANGE
Sangonomiya Kokomi Character Card Showcase.png	splash	700	2646	pixels	y	0.1005	0.8995	6	6		
Sangonomiya Kokomi Multi Wish.png	splash	320	1024	pixels	y	0.1187	0.8812	6	0	0.12 0.27 0.42 0.58 0.73 0.88	upscale x1.56
Sangonomiya Kokomi Character Card Golden.png	tcg	420	720	pixels	y	0.2217	0.7783	6	6		upscale x1.19
Sangonomiya Kokomi Character Card Platinum.png	tcg	420	720	pixels	y	0.2217	0.7783	6	5	0.78	upscale x1.19
Sangonomiya Kokomi Character Card.png	tcg	420	720	pixels	y	0.2217	0.7783	6	6		upscale x1.19
Bake-Kurage Summon.png	vfx	420	720	pixels	y	0.2217	0.7783	6	2	0.22 0.33 0.56 0.78	upscale x1.19
Namecard Background Sangonomiya Kokomi The Deep.png	splash	840	400	pixels	x	0.3133	0.6867	5	1	0.31 0.41 0.5 0.69	
Sangonomiya Kokomi Portrait.png	splash	4900	5700	pixels	y	0.3265	0.6735	5	5		
Sangonomiya Kokomi Wish.png	splash	2048	1024	pixels	x	0.3289	0.6711	5	6		
Sangonomiya Kokomi Profile.png	splash	2400	1320	pixels	x	0.3618	0.6382	4	4		
Character Sangonomiya Kokomi Full Wish.png	splash	1568	1553	pixels	y	0.3838	0.6162	3	3		
Sangonomiya Kokomi Introduction Card.jpg	splash	2250	2250	pixels	y	0.38	0.62	3	3		
Item Sango Pearl Wild.png	item	797	798	pixels	-			1	1		single-anchor register
Item Sango Pearl.png	item	256	256	pixels	-			1	1		single-anchor register
Item Sangonomiya Kokomi The Deep.png	item	256	256	pixels	-			1	1		single-anchor register
Sangonomiya Kokomi Item.png	item	256	256	pixels	-			1	1		single-anchor register
Sangonomiya Kokomi Vision.png	item	400	400	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 09 Sangonomiya Kokomi 1.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 09 Sangonomiya Kokomi 2.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 09 Sangonomiya Kokomi 3.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 09 Sangonomiya Kokomi 4.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 13 Sangonomiya Kokomi 1.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 13 Sangonomiya Kokomi 2.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 13 Sangonomiya Kokomi 3.png	sticker	300	300	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 24 Sangonomiya Kokomi 1.png	sticker	340	340	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 25 Sangonomiya Kokomi 1.png	sticker	340	340	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 25 Sangonomiya Kokomi 2.png	sticker	340	340	pixels	-			1	1		single-anchor register
Icon Emoji Paimon's Paintings 39 Sangonomiya Kokomi.png	sticker	340	340	pixels	-			1	1		single-anchor register
Sangonomiya Kokomi Expression 1.png	sticker	420	420	pixels	-			1	0	(whole)	single-anchor register
Sangonomiya Kokomi Expression 2.png	sticker	420	420	pixels	-			1	1		single-anchor register
Sangonomiya Kokomi Expression 3.png	sticker	420	420	pixels	-			1	1		single-anchor register
Side by Side We Venture Character Kokomi.png	sticker	263	315	pixels	-			1	0	(whole)	single-anchor register
Ceremonial Garment Buff Icon.png	vfx	100	100	pixels	-			0	0		undersize 100x100 < 500x380 BOTH ways (art_lint L8)
Kurage's Oath Preview.gif	vfx	480	270	pixels	-			0	0		undersize 480x270 < 500x380 BOTH ways (art_lint L8)
Nereid's Ascension Ceremonial Garment Attack Preview.gif	vfx	480	270	pixels	-			0	0		undersize 480x270 < 500x380 BOTH ways (art_lint L8)
Nereid's Ascension Ceremonial Garment Water Preview.gif	vfx	480	270	pixels	-			0	0		undersize 480x270 < 500x380 BOTH ways (art_lint L8)
Nereid's Ascension Preview.gif	vfx	480	270	pixels	-			0	0		undersize 480x270 < 500x380 BOTH ways (art_lint L8)
Talent Kurage's Oath.png	vfx	128	128	pixels	-			0	0		undersize 128x128 < 500x380 BOTH ways (art_lint L8)
Talent Nereid's Ascension.png	vfx	128	128	pixels	-			0	0		undersize 128x128 < 500x380 BOTH ways (art_lint L8)
Talent Princess of Watatsumi.png	vfx	128	128	pixels	-			0	0		undersize 128x128 < 500x380 BOTH ways (art_lint L8)
