body	face	base_entry	display_name	size_class	notes
wooden_shield_hilichurl_guard	MONDSTADT	NIBBIT	Wooden Shield Hilichurl Guard	regular	
hilichurl	MONDSTADT	INKLET	Hilichurl	regular	
dendro_slime	MONDSTADT	LEAF_SLIME_M	Dendro Slime	regular	
dendro_slime	MONDSTADT	LEAF_SLIME_S	Dendro Slime	regular	one plate, both slime sizes
cryo_slime	MONDSTADT	TWIG_SLIME_M	Cryo Slime	regular	
cryo_slime	MONDSTADT	TWIG_SLIME_S	Cryo Slime	regular	one plate, both slime sizes
rockfond_rifthound	MONDSTADT	MAWLER	Rockfond Rifthound	regular	palette; shares its plate with INAZUMA/CHOMPER
anemo_samachurl	MONDSTADT	FOGMOG	Anemo Samachurl	regular	palette
fatui_hydrogunner_legionnaire	MONDSTADT	SEWER_CLAM	Fatui Hydrogunner Legionnaire	regular	palette; base enemy is Underdocks-only in v0.111.0; inert under this face
anemo_hilichurl_rogue	MONDSTADT	BYRDONIS	Anemo Hilichurl Rogue	elite	palette
ruin_guard	MONDSTADT	BYGONE_EFFIGY	Ruin Guard	elite	
hydro_abyss_mage	MONDSTADT	PHANTASMAL_GARDENER	Hydro Abyss Mage	elite	four mage plates, one Id.Entry: hydro takes the row, pyro/electro/cryo are scene-only; base enemy is Underdocks-only in v0.111.0; inert under this face
boreas	MONDSTADT	VANTOM	Andrius	boss	
cryo_regisvine	MONDSTADT	LAGAVULIN_MATRIARCH	Cryo Regisvine	boss	base enemy is Underdocks-only in v0.111.0; inert under this face
treasure_hoarder_handyman	LIYUE	NIBBIT	Treasure Hoarder Handyman	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
treasure_hoarder_scout	LIYUE	INKLET	Treasure Hoarder Scout	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
geo_slime	LIYUE	LEAF_SLIME_M	Geo Slime	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
geo_slime	LIYUE	LEAF_SLIME_S	Geo Slime	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
hydro_slime	LIYUE	TWIG_SLIME_M	Hydro Slime	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
hydro_slime	LIYUE	TWIG_SLIME_S	Hydro Slime	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
geovishap_hatchling	LIYUE	MAWLER	Geovishap Hatchling	regular	base enemy is Overgrowth-only in v0.111.0; inert under this face
anemo_samachurl	LIYUE	FOGMOG	Anemo Samachurl	regular	palette; base enemy is Overgrowth-only in v0.111.0; inert under this face
large_geo_slime	LIYUE	SEWER_CLAM	Large Geo Slime	regular	
treasure_hoarder_marksman	LIYUE	BYRDONIS	Treasure Hoarder Marksman	elite	base enemy is Overgrowth-only in v0.111.0; inert under this face
ruin_guard	LIYUE	BYGONE_EFFIGY	Ruin Guard	elite	base enemy is Overgrowth-only in v0.111.0; inert under this face
hilichurl_fighter	LIYUE	PHANTASMAL_GARDENER	Hilichurl Fighter	elite	the camp is Fighters plus Guards but the elite is one Id.Entry: the Fighter takes the row
kongamato	LIYUE	VANTOM	Kongamato	boss	palette; base enemy is Overgrowth-only in v0.111.0; inert under this face
primo_geovishap	LIYUE	LAGAVULIN_MATRIARCH	Primo Geovishap	boss	
tepetlisaurus_warrior_rockbreaker_blade	NATLAN	BOWLBUG_ROCK	Tepetlisaurus Warrior: Rockbreaker Blade	regular	
tepetlisaur_whelp	NATLAN	BOWLBUG_SILK	Tepetlisaur Whelp	regular	
tepetlisaur_whelp	NATLAN	EXOSKELETON	Tepetlisaur Whelp	regular	one plate, pod and trio
tepetlisaurus	NATLAN	TUNNELER	Tepetlisaurus	regular	
koholasaurus	NATLAN	CHOMPER	Koholasaurus	regular	palette
yumkasaurus	NATLAN	HUNTER_KILLER	Yumkasaurus	regular	palette
tatankasaurus	NATLAN	LOUSE_PROGENITOR	Tatankasaurus	regular	palette
yumkasaur_whelp	NATLAN	MYTE	Yumkasaur Whelp	regular	palette
iktomisaurus	NATLAN	OVICOPTER	Iktomisaurus	regular	
