surface	character	archetype_or_deck	pilot	cut	n_runs	n_fights	n_combats	seed	stamp	damage_all_ops	damage_from_reactions	damage_from_base_ops	share_pooled	share_pooled_ci_lo	share_pooled_ci_hi	share_fight_mean	share_fight_mean_ci_lo	share_fight_mean_ci_hi	amp	splash	dot	reactions	reactions_per_fight	fights_with_any_reaction_damage	aura_ops_total	aura_ops_per_fight	aura_ops_detail	aura_applications	aura_applications_per_fight	aura_applications_by_source	aura_applications_by_element	auras_wasted	reactions_by_name	reaction_payoff_evaluated	reaction_payoff_fired	reaction_payoff_rate	reaction_payoff_detail	reaction_payoff_absent	aura_payoff_evaluated	aura_payoff_fired	aura_payoff_rate	aura_payoff_detail	aura_payoff_absent	payoff_cards_drafted
battery	klee	starter	generic	attrition		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	75000	0	75000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	1659	3.318	hit=1659	pyro=1659	659	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	burst_check		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	30000	0	30000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	500	1.0	hit=500	pyro=500	0	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	gauntlet		500	1000	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	92500	0	92500	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	3089	3.089	hit=3089	pyro=3089	89	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	punisher		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	57500	0	57500	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	500	1.0	hit=500	pyro=500	0	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	swarm		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	35000	0	35000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	2548	5.096	hit=2548	pyro=2548	48	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	tank_boss		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	119980	0	119980	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	534	1.068	hit=534	pyro=534	34	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	starter	generic	all		3000	3500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	409980	0	409980	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	8830	2.5229	hit=8830	pyro=8830	830	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	attrition		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	75000	0	75000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	1380	2.76	hit=1380	pyro=1380	380	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	burst_check		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	30000	0	30000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	502	1.004	hit=502	pyro=502	2	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	gauntlet		500	1000	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	92500	0	92500	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	3167	3.167	hit=3167	pyro=3167	174	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	punisher		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	57500	0	57500	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	509	1.018	hit=509	pyro=509	9	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	swarm		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	35000	0	35000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	2654	5.308	hit=2654	pyro=2654	161	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
battery	klee	demolition_weighted	demolition	tank_boss		500	500	20260805	tier0 battery frozen (M2)  fights/encounter=500 seed=20260805  D14/C4	120000	0	120000	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	-	510	1.02	hit=510	pyro=510	10	-	0	0	0.0	-	reaction_triggered_by_this,reaction_triggered_this_turn	0	0	0.0	-	target_has_nonpyro_aura	
