surface	character	archetype_or_deck	pilot	cut	n_runs	n_fights	seed	stamp	damage_all_ops	damage_from_reactions	damage_from_base_ops	share_pooled	share_pooled_ci_lo	share_pooled_ci_hi	share_fight_mean	share_fight_mean_ci_lo	share_fight_mean_ci_hi	amp	splash	dot	reactions	reactions_per_fight	fights_with_any_reaction_damage	aura_ops_total	aura_ops_per_fight	aura_ops_detail	aura_applications	aura_applications_per_fight	aura_applications_by_source	aura_applications_by_element	auras_wasted	reactions_by_name	reaction_payoff_evaluated	reaction_payoff_fired	reaction_payoff_rate	reaction_payoff_detail	reaction_payoff_absent	aura_payoff_evaluated	aura_payoff_fired	aura_payoff_rate	aura_payoff_detail	aura_payoff_absent	payoff_cards_drafted
cohort	klee	demolition	demolition	all	3000	46206	20260805	cell=trackH-klee-demolition seed=20260805 runs=3000 RT7/D14/P3/C4	5247143	305844	4941299	0.05829	0.0577	0.05889	0.0589	0.05841	0.0594	207965	94988	2891	90687	1.9627	38296	36075	0.7807	apply_aura=19605;refresh_all_auras=826;swirl=15644	177437	3.8401	apply_aura_op=5979;hit=154006;swirl_spread=17452	cryo=4530;electro=3367;hydro=7909;pyro=161631	9427	electrocharged=456;frozen=518;melt=27715;overload=12243;superconduct=288;swirl=12882;vaporize=36585	12891	6319	0.49019	reaction_triggered_by_this=6319/12891	reaction_triggered_this_turn	4206	304	0.07228	target_has_nonpyro_aura=304/4206	-	reaction_triggered_by_this:boom_goes_the_dynamite=229;reaction_triggered_by_this:perfect_timing=190;reaction_triggered_by_this:prune_witch_hunt=1215;reaction_triggered_this_turn:chevreuse_vanguards_valor=5;target_has_nonpyro_aura:elemental_ecstasy=595;target_has_nonpyro_aura:sizzle=272
cohort	klee	demolition	demolition	act1	3000	24236	20260805	cell=trackH-klee-demolition seed=20260805 runs=3000 RT7/D14/P3/C4	1959565	105690	1853875	0.05394	0.05336	0.05448	0.05719	0.05661	0.05777	92743	12662	285	33195	1.3697	19618	7729	0.3189	apply_aura=3923;refresh_all_auras=30;swirl=3776	70384	2.9041	apply_aura_op=1012;hit=65741;swirl_spread=3631	cryo=1185;electro=471;hydro=1640;pyro=67088	3339	electrocharged=43;frozen=93;melt=13253;overload=1833;superconduct=38;swirl=3148;vaporize=14787	4839	2250	0.46497	reaction_triggered_by_this=2250/4839	reaction_triggered_this_turn	1499	37	0.02468	target_has_nonpyro_aura=37/1499	-	
cohort	klee	demolition	demolition	act2	3000	17358	20260805	cell=trackH-klee-demolition seed=20260805 runs=3000 RT7/D14/P3/C4	2406653	143407	2263246	0.05959	0.05869	0.06053	0.05947	0.05856	0.06038	87374	54396	1637	42467	2.4465	14734	20510	1.1816	apply_aura=11484;refresh_all_auras=515;swirl=8511	81900	4.7183	apply_aura_op=3607;hit=68128;swirl_spread=10165	cryo=2487;electro=1957;hydro=4591;pyro=72865	5326	electrocharged=261;frozen=295;melt=11369;overload=6664;superconduct=162;swirl=7006;vaporize=16710	6357	3157	0.49662	reaction_triggered_by_this=3157/6357	reaction_triggered_this_turn	2082	173	0.08309	target_has_nonpyro_aura=173/2082	-	
cohort	klee	demolition	demolition	act3	3000	4612	20260805	cell=trackH-klee-demolition seed=20260805 runs=3000 RT7/D14/P3/C4	880925	56747	824178	0.06442	0.0627	0.06612	0.06581	0.06394	0.06768	27848	27930	969	15025	3.2578	3944	7836	1.699	apply_aura=4198;refresh_all_auras=281;swirl=3357	25153	5.4538	apply_aura_op=1360;hit=20137;swirl_spread=3656	cryo=858;electro=939;hydro=1678;pyro=21678	762	electrocharged=152;frozen=130;melt=3093;overload=3746;superconduct=88;swirl=2728;vaporize=5088	1695	912	0.53805	reaction_triggered_by_this=912/1695	reaction_triggered_this_turn	625	94	0.1504	target_has_nonpyro_aura=94/625	-	
cohort	klee	spark	spark	all	3000	43567	20260805	cell=trackH-klee-spark seed=20260805 runs=3000 RT7/D14/P3/C4	4785310	314944	4470366	0.06581	0.06519	0.06647	0.06504	0.0645	0.06557	215584	96048	3312	93071	2.1363	37282	36582	0.8397	apply_aura=19909;refresh_all_auras=853;swirl=15820	177046	4.0638	apply_aura_op=5773;hit=153328;swirl_spread=17945	cryo=4199;electro=3523;hydro=7735;pyro=161589	9949	electrocharged=524;frozen=501;melt=28389;overload=12340;superconduct=269;swirl=13328;vaporize=37720	14317	7853	0.54851	reaction_triggered_by_this=7853/14317	reaction_triggered_this_turn	4254	283	0.06653	target_has_nonpyro_aura=283/4254	-	reaction_triggered_by_this:boom_goes_the_dynamite=222;reaction_triggered_by_this:perfect_timing=170;reaction_triggered_by_this:prune_witch_hunt=1213;reaction_triggered_this_turn:chevreuse_vanguards_valor=1;target_has_nonpyro_aura:elemental_ecstasy=525;target_has_nonpyro_aura:sizzle=238
cohort	klee	spark	spark	act1	3000	23939	20260805	cell=trackH-klee-spark seed=20260805 runs=3000 RT7/D14/P3/C4	1929834	111417	1818417	0.05773	0.05716	0.05832	0.06064	0.06005	0.06122	97710	13453	254	35567	1.4857	20048	8625	0.3603	apply_aura=4099;refresh_all_auras=54;swirl=4472	72595	3.0325	apply_aura_op=931;hit=67304;swirl_spread=4360	cryo=1159;electro=503;hydro=1630;pyro=69303	3902	electrocharged=49;frozen=80;melt=14028;overload=1975;superconduct=40;swirl=3784;vaporize=15611	5539	2941	0.53096	reaction_triggered_by_this=2941/5539	reaction_triggered_this_turn	1532	32	0.02089	target_has_nonpyro_aura=32/1532	-	
cohort	klee	spark	spark	act2	3000	16193	20260805	cell=trackH-klee-spark seed=20260805 runs=3000 RT7/D14/P3/C4	2206021	152364	2053657	0.06907	0.06805	0.07017	0.0684	0.06739	0.06941	93136	57336	1892	44671	2.7587	14239	21288	1.3146	apply_aura=11985;refresh_all_auras=587;swirl=8716	83654	5.1661	apply_aura_op=3591;hit=69501;swirl_spread=10562	cryo=2397;electro=2187;hydro=4562;pyro=74508	5454	electrocharged=295;frozen=291;melt=11947;overload=7067;superconduct=169;swirl=7343;vaporize=17559	7149	3963	0.55434	reaction_triggered_by_this=3963/7149	reaction_triggered_this_turn	2224	192	0.08633	target_has_nonpyro_aura=192/2224	-	
cohort	klee	spark	spark	act3	3000	3435	20260805	cell=trackH-klee-spark seed=20260805 runs=3000 RT7/D14/P3/C4	649455	51163	598292	0.07878	0.07637	0.08122	0.07987	0.07735	0.08239	24738	25259	1166	12833	3.736	2995	6669	1.9415	apply_aura=3825;refresh_all_auras=212;swirl=2632	20797	6.0544	apply_aura_op=1251;hit=16523;swirl_spread=3023	cryo=643;electro=833;hydro=1543;pyro=17778	593	electrocharged=180;frozen=130;melt=2414;overload=3298;superconduct=60;swirl=2201;vaporize=4550	1629	949	0.58257	reaction_triggered_by_this=949/1629	reaction_triggered_this_turn	498	59	0.11847	target_has_nonpyro_aura=59/498	-	
cohort	klee	reaction	reaction	all	3000	47930	20260805	cell=trackH-klee-reaction seed=20260805 runs=3000 RT7/D14/P3/C4	5536964	635198	4901766	0.11472	0.11376	0.11567	0.11217	0.11137	0.11298	446233	179136	9829	159814	3.3343	44583	78640	1.6407	apply_aura=47272;refresh_all_auras=887;swirl=30481	250889	5.2345	apply_aura_op=15772;hit=199199;swirl_spread=35918	cryo=12750;electro=8087;hydro=20565;pyro=209487	11104	electrocharged=1655;frozen=2531;melt=46007;overload=22797;superconduct=1043;swirl=25277;vaporize=60504	31446	16062	0.51078	reaction_triggered_by_this=16062/31446	reaction_triggered_this_turn	8575	1017	0.1186	target_has_nonpyro_aura=1017/8575	-	reaction_triggered_by_this:boom_goes_the_dynamite=214;reaction_triggered_by_this:perfect_timing=155;reaction_triggered_by_this:prune_witch_hunt=947;reaction_triggered_this_turn:chevreuse_vanguards_valor=25;target_has_nonpyro_aura:elemental_ecstasy=426;target_has_nonpyro_aura:sizzle=222
cohort	klee	reaction	reaction	act1	3000	24483	20260805	cell=trackH-klee-reaction seed=20260805 runs=3000 RT7/D14/P3/C4	1991477	191059	1800418	0.09594	0.09498	0.0969	0.09772	0.0968	0.09865	143467	45838	1754	59847	2.4444	22376	23941	0.9779	apply_aura=12715;refresh_all_auras=75;swirl=11151	96567	3.9442	apply_aura_op=3558;hit=79933;swirl_spread=13076	cryo=3581;electro=1973;hydro=5039;pyro=85974	3848	electrocharged=303;frozen=594;melt=19869;overload=6431;superconduct=216;swirl=9678;vaporize=22756	12840	7180	0.55919	reaction_triggered_by_this=7180/12840	reaction_triggered_this_turn	3143	219	0.06968	target_has_nonpyro_aura=219/3143	-	
