character	id	rarity	archetypes	role	solve_authored	solve_suggested	diverges	tempo_fight	tempo_run	aoe	generates	reads	inherited_early	inherited_mid	inherited_late
klee	kaboom	basic	generic	glue	frontload	frontload		early	early						
klee	duck_and_cover	basic	generic	glue	block	block		early	early						
klee	jumpy_dumpty	basic	demolition	enabler	frontload,utility	frontload	YES	mid	early		bomb			frontload	frontload
klee	pop	basic	demolition	enabler	frontload	frontload		early	early		bomb			frontload	frontload
klee	mine_toss	common	demolition	enabler	frontload	frontload		early	early	aoe	bomb			frontload	frontload
klee	fish_flavored_bait	common	demolition	enabler	frontload	frontload		early	early		bomb			frontload	frontload
klee	quick_fuse	common	demolition	glue	utility	utility		early,mid,late	early,late			bomb			
klee	double_pop	common	demolition	enabler	frontload	frontload		early	early		bomb			frontload	frontload
klee	ammo_scavenging	common	demolition	glue	velocity	frontload,velocity	YES	early	early		bomb			frontload	frontload
klee	big_badda_boom	common	demolition,generic	glue	frontload	frontload		mid	early						
klee	blast_radius	common	generic	glue	utility	frontload	YES	early	early	aoe					
klee	chain_fuse	common	demolition	enabler	scaling	frontload	YES	early	early		bomb			frontload	frontload
klee	careful_arrangement	common	demolition	glue	utility	frontload	YES	mid	early		bomb			frontload	frontload
klee	bomb_voyage	common	demolition	enabler	frontload	frontload		mid	early	aoe	bomb			frontload	frontload
klee	sparkly_treasure	common	spark	enabler	velocity	frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	pocket_fireworks	common	spark	enabler	frontload	frontload		early	early						
klee	crackle	common	spark	enabler	frontload	frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	spark_collection	common	spark	enabler	velocity	frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	tail_of_flame	common	spark	payoff	frontload	frontload		early,mid,late	early,late			spark			
klee	eager_to_help	common	spark,generic	glue	velocity	velocity		late	early,late			spark			
klee	skip_and_hop	common	spark	glue	block	block,frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	rapid_fire	common	spark	enabler	frontload	frontload		mid	early						
klee	warm_glow	common	spark	glue	block	block,frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	snap	common	spark	enabler	frontload,velocity	frontload,velocity		early	early		spark			frontload,velocity	frontload,velocity
klee	sizzle	common	reaction	payoff	frontload	frontload		early,mid,late	early,late			aura			
klee	combustion_study	common	reaction	enabler	velocity	frontload,velocity	YES	early	early		burst				frontload,velocity
klee	alchemical_curiosity	common	reaction,generic	glue	block,velocity	block,velocity		early	early						
klee	boom_goes_the_dynamite	common	reaction	payoff	frontload	frontload		mid,late	early,late			aura			
klee	study_of_explosions	common	reaction	glue	velocity	frontload,velocity	YES	early	early		burst				frontload,velocity
klee	friendly_visit	common	reaction	glue	velocity	block,velocity	YES	early	early						
klee	hide_and_seek	common	generic	glue	block	block,velocity	YES	early	early						
klee	sorry_jean	common	demolition,generic	glue	block	block,frontload	YES	early	early		bomb			frontload	frontload
klee	spooked	common	generic	glue	utility	block,utility	YES	early	early	aoe					
klee	clockwork_toy	common	generic	glue	block	block,frontload,velocity	YES	early	early		burst				frontload,velocity
klee	run_away	common	generic	glue	block	block		early	early						
klee	patched_dress	common	spark,generic	glue	block	block		early,mid,late	early,late			spark			
klee	jumpy_dumpty_mk2	uncommon	demolition	enabler	frontload	frontload		mid	early	aoe	bomb			frontload	frontload
klee	remote_detonator	uncommon	demolition	payoff	frontload	utility	YES	early,mid,late	late	aoe		bomb			
klee	bombs_away	uncommon	demolition	enabler	frontload	frontload		late	early	aoe	bomb			frontload	frontload
klee	explosives_workshop	uncommon	demolition	payoff	scaling	frontload,scaling	YES	late	late		bomb	bomb		frontload	frontload
klee	cluster_charge	uncommon	demolition	enabler	frontload	frontload		mid	early	aoe	bomb			frontload	frontload
klee	trip_wire	uncommon	demolition	glue	utility	frontload,utility	YES	early	early		bomb			frontload	frontload
klee	controlled_demolition	uncommon	demolition	enabler	frontload	frontload		late	early	aoe	bomb			frontload	frontload
klee	kaboom_beetle_swarm	uncommon	demolition	payoff	frontload	frontload		mid,late	late			bomb			
klee	spark_knight_style	uncommon	spark	payoff	scaling	scaling		late	late						
klee	endless_fireworks	uncommon	spark	enabler	velocity	frontload,scaling,velocity	YES	late	early		spark	spark		frontload,velocity	frontload,velocity
klee	flame_on_the_wick	uncommon	spark	glue	frontload	frontload		early	early						
klee	gleeful_barrage	uncommon	spark	payoff	scaling	frontload	YES	mid,late	late			spark			
klee	hot_hands	uncommon	spark	enabler	velocity	frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	cant_catch_me	uncommon	spark	glue	block,velocity	block,frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	sugar_rush	uncommon	spark	glue	velocity	frontload,velocity	YES	early	early		spark			frontload,velocity	frontload,velocity
klee	catalytic_conversion	uncommon	reaction	payoff	velocity	velocity		late	late						
klee	perfect_timing	uncommon	reaction	payoff	frontload	frontload		early,mid,late	late			aura			
klee	elemental_ecstasy	uncommon	reaction	glue	velocity	block,utility,velocity	YES	mid,late	early,late			aura			
klee	borrowed_brilliance	uncommon	reaction	glue	utility	velocity	YES	early	early						
klee	study_buddy	uncommon	reaction	payoff	utility	block,velocity	YES	early	late						
klee	flame_dance	uncommon	reaction	payoff	utility	frontload	YES	mid	late	aoe		aura			
klee	spirited_away	uncommon	generic	glue	block	block		mid	early						
klee	dodge_roll	uncommon	generic	glue	block,utility	block,utility		early	early						
klee	bright_idea	uncommon	generic	glue	velocity	velocity		early	early						
klee	surprise_visit	uncommon	generic	glue	utility	utility		early	early						
klee	sparks_n_splash	rare	generic	payoff	scaling	frontload,scaling,velocity	YES	late	late		spark	burst,spark		frontload,velocity	frontload,velocity
klee	blazing_delight	rare	demolition	payoff	scaling	frontload,scaling	YES	late	late		bomb	bomb		frontload	frontload
klee	chained_reactions	rare	demolition	payoff	frontload	frontload,utility	YES	early,mid,late	late	aoe	bomb	bomb		frontload	frontload
klee	explosive_frags	rare	demolition	payoff	utility	frontload,scaling	YES	late	late		bomb	bomb		frontload	frontload
klee	sparkly_explosion	rare	demolition,spark	payoff	frontload	frontload,velocity	YES	mid,late	late	aoe	bomb,spark			frontload,velocity	frontload,velocity
klee	all_my_treasures	rare	demolition	payoff	frontload	frontload,velocity	YES	late	late	aoe	bomb,spark			frontload,velocity	frontload,velocity
klee	fish_blasting	rare	generic	payoff	frontload,utility	frontload,velocity	YES	late	late	aoe					
klee	true_spark_knight	rare	spark	payoff	velocity	frontload,scaling,velocity	YES	mid,late	late		spark	spark		frontload,velocity	frontload,velocity
klee	da_da_da	rare	spark	payoff	frontload	frontload,velocity	YES	early	late		spark			frontload,velocity	frontload,velocity
klee	grand_finale	rare	demolition	payoff	scaling	frontload	YES	mid,late	late			bomb			
klee	secret_stash	rare	demolition	glue	velocity	velocity		early	late						
klee	vermillion_pact	rare	reaction	payoff	scaling	scaling		late	late						
klee	playtime_forever	rare	demolition,spark	payoff	scaling,velocity	frontload,scaling	YES	late	late		bomb	bomb		frontload	frontload
klee	best_friends_forever	rare	reaction	payoff	utility	velocity	YES	early	late						
klee	no_holding_back	rare	generic	payoff	frontload	frontload		early	late	aoe					
furina	soloists_solicitation	basic	generic	glue	frontload	frontload		early	early						
furina	stage_presence	basic	generic	glue	block	block		early	early						
furina	regal_bearing	basic	generic	glue	block,utility	block,utility		early	early						
furina	aria_of_recompense	basic	generic,fanfare	enabler	block,sustain	block,frontload,scaling,velocity	YES	early,mid,late	early,late		encore	fanfare	block,frontload,scaling,velocity	block,frontload,scaling,velocity	block,frontload,scaling,velocity
