out	raw	dressing	surface	w	h	title	origin	licence	notes
ImageGen/images/teyvat/backgrounds/mondstadt/mondstadt_bg_00.png	art/raw/Windrise.png	mondstadt	bg_00	1382	648	Windrise.png	https://genshin-impact.fandom.com/wiki/File:Windrise.png	PLACEHOLDER-COPYRIGHTED	the great oak at Windrise; the act-1 Mondstadt meadow, re-cropped to the combat feet line
ImageGen/images/teyvat/rest_site/mondstadt_rest_site_bg.png	art/raw/Angel's_Share_Interior_1F.png	mondstadt	rest_site	1382	648	Angel's Share Interior 1F.png	https://genshin-impact.fandom.com/wiki/File:Angel's_Share_Interior_1F.png	PLACEHOLDER-COPYRIGHTED	the Angel's Share tap room, first floor
ImageGen/images/teyvat/map_bgs/mondstadt/map_top_mondstadt.png	art/raw/Stormterror's_Lair.png	mondstadt	map_top	2035	1440	Stormterror's Lair.png	https://genshin-impact.fandom.com/wiki/File:Stormterror's_Lair.png	PLACEHOLDER-COPYRIGHTED	heights: the ruined tower of Stormterror's Lair
ImageGen/images/teyvat/map_bgs/mondstadt/map_middle_mondstadt.png	art/raw/Mondstadt_City.png	mondstadt	map_middle	2035	1440	Mondstadt City.png	https://genshin-impact.fandom.com/wiki/File:Mondstadt_City.png	PLACEHOLDER-COPYRIGHTED	the walled city on Cider Lake
ImageGen/images/teyvat/map_bgs/mondstadt/map_bottom_mondstadt.png	art/raw/Cider_Lake.png	mondstadt	map_bottom	2035	1440	Cider Lake.png	https://genshin-impact.fandom.com/wiki/File:Cider_Lake.png	PLACEHOLDER-COPYRIGHTED	water: the lake shallows under the city cliff
ImageGen/images/teyvat/backgrounds/liyue/liyue_bg_00.png	art/raw/Guili_Plains.png	liyue	bg_00	1382	648	Guili Plains.png	https://genshin-impact.fandom.com/wiki/File:Guili_Plains.png	PLACEHOLDER-COPYRIGHTED	the golden Guili plain, eye-level; swapped off Guyun Stone Forest, an aerial shot whose feet line fell on open sea
ImageGen/images/teyvat/rest_site/liyue_rest_site_bg.png	art/raw/Xinyue_Kiosk_Interior.png	liyue	rest_site	1382	648	Xinyue Kiosk Interior.png	https://genshin-impact.fandom.com/wiki/File:Xinyue_Kiosk_Interior.png	PLACEHOLDER-COPYRIGHTED	the Xinyue Kiosk dining room, Liyue Harbor
ImageGen/images/teyvat/map_bgs/liyue/map_top_liyue.png	art/raw/Mt._Xuanlian.png	liyue	map_top	2035	1440	Mt. Xuanlian.png	https://genshin-impact.fandom.com/wiki/File:Mt._Xuanlian.png	PLACEHOLDER-COPYRIGHTED	heights: the karst spires of Mt. Xuanlian
ImageGen/images/teyvat/map_bgs/liyue/map_middle_liyue.png	art/raw/Liyue_Harbor.png	liyue	map_middle	2035	1440	Liyue Harbor.png	https://genshin-impact.fandom.com/wiki/File:Liyue_Harbor.png	PLACEHOLDER-COPYRIGHTED	the harbour, junks and lantern bridges
ImageGen/images/teyvat/map_bgs/liyue/map_bottom_liyue.png	art/raw/Yaoguang_Shoal.png	liyue	map_bottom	2035	1440	Yaoguang Shoal.png	https://genshin-impact.fandom.com/wiki/File:Yaoguang_Shoal.png	PLACEHOLDER-COPYRIGHTED	water: the shoal and sandbars of Yaoguang
ImageGen/images/teyvat/backgrounds/natlan/natlan_bg_00.png	art/raw/Coatepec_Mountain.png	natlan	bg_00	1382	648	Coatepec Mountain.png	https://genshin-impact.fandom.com/wiki/File:Coatepec_Mountain.png	PLACEHOLDER-COPYRIGHTED	the painted mesa over its grass terrace; swapped off Tequemecan Valley, a canyon-rim shot whose feet line fell into the void
ImageGen/images/teyvat/rest_site/natlan_rest_site_bg.png	art/raw/Weary_Inn.png	natlan	rest_site	1382	648	Weary Inn.png	https://genshin-impact.fandom.com/wiki/File:Weary_Inn.png	PLACEHOLDER-COPYRIGHTED	the Weary Inn's common room
ImageGen/images/teyvat/map_bgs/natlan/map_top_natlan.png	art/raw/Ancient_Sacred_Mountain.png	natlan	map_top	2035	1440	Ancient Sacred Mountain.png	https://genshin-impact.fandom.com/wiki/File:Ancient_Sacred_Mountain.png	PLACEHOLDER-COPYRIGHTED	heights: the floating isles of the Ancient Sacred Mountain
ImageGen/images/teyvat/map_bgs/natlan/map_middle_natlan.png	art/raw/Stadium_of_the_Sacred_Flame.png	natlan	map_middle	2035	1440	Stadium of the Sacred Flame.png	https://genshin-impact.fandom.com/wiki/File:Stadium_of_the_Sacred_Flame.png	PLACEHOLDER-COPYRIGHTED	the Stadium of the Sacred Flame under its banners
ImageGen/images/teyvat/map_bgs/natlan/map_bottom_natlan.png	art/raw/Toyac_Springs.png	natlan	map_bottom	2035	1440	Toyac Springs.png	https://genshin-impact.fandom.com/wiki/File:Toyac_Springs.png	PLACEHOLDER-COPYRIGHTED	water: the pools and lilies of Toyac Springs
ImageGen/images/teyvat/backgrounds/inazuma/inazuma_bg_00.png	art/raw/Byakko_Plain.png	inazuma	bg_00	1382	648	Byakko Plain.png	https://genshin-impact.fandom.com/wiki/File:Byakko_Plain.png	PLACEHOLDER-COPYRIGHTED	the Byakko meadow and its path; swapped off Narukami Island, an aerial shot whose feet line fell on sea haze
ImageGen/images/teyvat/rest_site/inazuma_rest_site_bg.png	art/raw/Uyuu_Restaurant_Interior.png	inazuma	rest_site	1382	648	Uyuu Restaurant Interior.png	https://genshin-impact.fandom.com/wiki/File:Uyuu_Restaurant_Interior.png	PLACEHOLDER-COPYRIGHTED	the Uyuu Restaurant counter under its lanterns
ImageGen/images/teyvat/map_bgs/inazuma/map_top_inazuma.png	art/raw/Amakumo_Peak.png	inazuma	map_top	2035	1440	Amakumo Peak.png	https://genshin-impact.fandom.com/wiki/File:Amakumo_Peak.png	PLACEHOLDER-COPYRIGHTED	heights: Amakumo Peak at storm-dusk
ImageGen/images/teyvat/map_bgs/inazuma/map_middle_inazuma.png	art/raw/Inazuma_City.png	inazuma	map_middle	2035	1440	Inazuma City.png	https://genshin-impact.fandom.com/wiki/File:Inazuma_City.png	PLACEHOLDER-COPYRIGHTED	Inazuma City and Tenshukaku on the mist
ImageGen/images/teyvat/map_bgs/inazuma/map_bottom_inazuma.png	art/raw/Nazuchi_Beach.png	inazuma	map_bottom	2035	1440	Nazuchi Beach.png	https://genshin-impact.fandom.com/wiki/File:Nazuchi_Beach.png	PLACEHOLDER-COPYRIGHTED	water: the wrecks beached at Nazuchi
ImageGen/images/teyvat/backgrounds/fontaine/fontaine_bg_00.png	art/raw/Beryl_Region.png	fontaine	bg_00	1382	648	Beryl Region.png	https://genshin-impact.fandom.com/wiki/File:Beryl_Region.png	PLACEHOLDER-COPYRIGHTED	the Beryl meadow under the Mont Automnequi peaks; swapped off Belleau Region, an aerial shot whose feet line fell on the lake
ImageGen/images/teyvat/rest_site/fontaine_rest_site_bg.png	art/raw/Hotel_Debord_Interior.png	fontaine	rest_site	1382	648	Hotel Debord Interior.png	https://genshin-impact.fandom.com/wiki/File:Hotel_Debord_Interior.png	PLACEHOLDER-COPYRIGHTED	the Hotel Debord lobby under its glass dome
ImageGen/images/teyvat/map_bgs/fontaine/map_top_fontaine.png	art/raw/West_Slopes_of_Mont_Automnequi.png	fontaine	map_top	2035	1440	West Slopes of Mont Automnequi.png	https://genshin-impact.fandom.com/wiki/File:West_Slopes_of_Mont_Automnequi.png	PLACEHOLDER-COPYRIGHTED	heights: the west slopes of Mont Automnequi
ImageGen/images/teyvat/map_bgs/fontaine/map_middle_fontaine.png	art/raw/Court_of_Fontaine.png	fontaine	map_middle	2035	1440	Court of Fontaine.png	https://genshin-impact.fandom.com/wiki/File:Court_of_Fontaine.png	PLACEHOLDER-COPYRIGHTED	the Court of Fontaine on its ring of water
ImageGen/images/teyvat/map_bgs/fontaine/map_bottom_fontaine.png	art/raw/Elynas.png	fontaine	map_bottom	2035	1440	Elynas.png	https://genshin-impact.fandom.com/wiki/File:Elynas.png	PLACEHOLDER-COPYRIGHTED	water: the sunlit roots of Elynas, below the surface
ImageGen/images/teyvat/backgrounds/sumeru/sumeru_bg_00.png	art/raw/Valley_of_Dahri.png	sumeru	bg_00	1382	648	Valley of Dahri.png	https://genshin-impact.fandom.com/wiki/File:Valley_of_Dahri.png	PLACEHOLDER-COPYRIGHTED	the sand floor between the Dahri canyon walls; swapped off Caravan Ribat, which looks down on the caravanserai rooftops
ImageGen/images/teyvat/rest_site/sumeru_rest_site_bg.png	art/raw/Lambad's_Tavern_Interior.png	sumeru	rest_site	1382	648	Lambad's Tavern Interior.png	https://genshin-impact.fandom.com/wiki/File:Lambad's_Tavern_Interior.png	PLACEHOLDER-COPYRIGHTED	Lambad's Tavern, interior
ImageGen/images/teyvat/map_bgs/sumeru/map_top_sumeru.png	art/raw/Mt._Damavand.png	sumeru	map_top	2035	1440	Mt. Damavand.png	https://genshin-impact.fandom.com/wiki/File:Mt._Damavand.png	PLACEHOLDER-COPYRIGHTED	heights: Mt. Damavand, where the sandstorm never stops
ImageGen/images/teyvat/map_bgs/sumeru/map_middle_sumeru.png	art/raw/Sumeru_City.png	sumeru	map_middle	2035	1440	Sumeru City.png	https://genshin-impact.fandom.com/wiki/File:Sumeru_City.png	PLACEHOLDER-COPYRIGHTED	Sumeru City in the branches of the Divine Tree
ImageGen/images/teyvat/map_bgs/sumeru/map_bottom_sumeru.png	art/raw/Sobek_Oasis.png	sumeru	map_bottom	2035	1440	Sobek Oasis.png	https://genshin-impact.fandom.com/wiki/File:Sobek_Oasis.png	PLACEHOLDER-COPYRIGHTED	water: the palms and pool of Sobek Oasis
