out	raw	scene	title	origin	licence	loop_start_s	notes
music/act1_mondstadt/combat/music_combat_A.ogg	media/raw/music/act1_mondstadt/combat/music_combat_A.ogg	act1_mondstadt/combat	MusicSegment/music_combat_A	Genshin Impact install, Music20.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		STANDS (was act1_mondstadt, 2026-09-17): the launch lettered combat suite is Mondstadt's.
music/act1_mondstadt/elite/music_combat_H.ogg	media/raw/music/act1_mondstadt/elite/music_combat_H.ogg	act1_mondstadt/elite	MusicSegment/music_combat_H	Genshin Impact install, Music30.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: no elite_ track exists for Mondstadt, so the face's second combat variant stands (322.8s).
music/act1_mondstadt/boss/music_combat_LupiBoreasS02.ogg	media/raw/music/act1_mondstadt/boss/music_combat_LupiBoreasS02.ogg	act1_mondstadt/boss	MusicSegment/music_combat_LupiBoreasS02	Genshin Impact install, Music21.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Andrius / Lupus Boreas, the boss the nation mapping puts on Vantom (act1 mapping line 44).
music/act1_mondstadt/map/music_explore_mengde_day_08.ogg	media/raw/music/act1_mondstadt/map/music_explore_mengde_day_08.ogg	act1_mondstadt/map	MusicSegment/music_explore_mengde_day_08	Genshin Impact install, Music26.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Mondstadt's longest daytime exploration loop (127.2s).
music/act1_liyue/combat/music_combat_LiYue_A_Loop.ogg	media/raw/music/act1_liyue/combat/music_combat_LiYue_A_Loop.ogg	act1_liyue/combat	MusicSegment/music_combat_LiYue_A_Loop	Genshin Impact install, Music25.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		STANDS (was act1_liyue, 2026-09-17): the Battles of Liyue A loop.
music/act1_liyue/elite/music_combat_LiYue_B_Loop.ogg	media/raw/music/act1_liyue/elite/music_combat_LiYue_B_Loop.ogg	act1_liyue/elite	MusicSegment/music_combat_LiYue_B_Loop	Genshin Impact install, Music31.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: the face's second combat variant; no elite_ track exists for Liyue.
music/act1_liyue/boss/music_combat_Tartaglia_S02.ogg	media/raw/music/act1_liyue/boss/music_combat_Tartaglia_S02.ogg	act1_liyue/boss	MusicSegment/music_combat_Tartaglia_S02	Genshin Impact install, Music7.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Primo Geovishap (act1 mapping line 86) has no theme, so Liyue's own weekly boss, Childe, stands.
music/act1_liyue/map/music_explore_LiYue_day_02.ogg	media/raw/music/act1_liyue/map/music_explore_LiYue_day_02.ogg	act1_liyue/map	MusicSegment/music_explore_LiYue_day_02	Genshin Impact install, Music10.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: Liyue's longest extracted daytime exploration loop (80.0s); the bucket is thin by name convention.
music/act2_natlan/combat/Music_Dungeon_MoRenGuaiWu_NaTa_N011.ogg	media/raw/music/act2_natlan/combat/Music_Dungeon_MoRenGuaiWu_NaTa_N011.ogg	act2_natlan/combat	MusicSegment/Music_Dungeon_MoRenGuaiWu_NaTa_N011	Genshin Impact install, Music0.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		STANDS (was act2_natlan, 2026-09-17): Natlan's combat lives under Dungeon_MoRenGuaiWu, not combat_NaTa.
music/act2_natlan/elite/Music_Dungeon_MoRenGuaiWu_NaTa_N012.ogg	media/raw/music/act2_natlan/elite/Music_Dungeon_MoRenGuaiWu_NaTa_N012.ogg	act2_natlan/elite	MusicSegment/Music_Dungeon_MoRenGuaiWu_NaTa_N012	Genshin Impact install, Music14.pck, AnimeWwise hk4e.map name	PLACEHOLDER-COPYRIGHTED		E default: the face's second combat variant; no elite_ track exists for Natlan.
