out	raw	body	surface	w	h	title	origin	licence	notes
ImageGen/images/teyvat/creature_visuals/wooden_shield_hilichurl_guard.png	art/raw/Enemy_Wooden_Shield_Hilichurl_Guard.png	wooden_shield_hilichurl_guard	still_portrait	240	280	Enemy Wooden Shield Hilichurl Guard.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Wooden_Shield_Hilichurl_Guard.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Nibbit
ImageGen/images/teyvat/creature_visuals/hilichurl.png	art/raw/Enemy_Hilichurl.png	hilichurl	still_portrait	240	280	Enemy Hilichurl.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Hilichurl.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Inklets x3
ImageGen/images/teyvat/creature_visuals/dendro_slime.png	art/raw/Enemy_Dendro_Slime.png	dendro_slime	still_portrait	240	280	Enemy Dendro Slime.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Dendro_Slime.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Leaf Slime
ImageGen/images/teyvat/creature_visuals/cryo_slime.png	art/raw/Enemy_Cryo_Slime.png	cryo_slime	still_portrait	240	280	Enemy Cryo Slime.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Cryo_Slime.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Twig Slime
ImageGen/images/teyvat/creature_visuals/rockfond_rifthound.png	art/raw/Enemy_Rockfond_Rifthound.png	rockfond_rifthound	still_portrait	240	280	Enemy Rockfond Rifthound.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Rockfond_Rifthound.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Mawler (palette)
ImageGen/images/teyvat/creature_visuals/anemo_samachurl.png	art/raw/Enemy_Anemo_Samachurl.png	anemo_samachurl	still_portrait	240	280	Enemy Anemo Samachurl.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Anemo_Samachurl.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Fogmog (palette)
ImageGen/images/teyvat/creature_visuals/fatui_hydrogunner_legionnaire.png	art/raw/Enemy_Fatui_Hydrogunner_Legionnaire.png	fatui_hydrogunner_legionnaire	still_portrait	240	280	Enemy Fatui Hydrogunner Legionnaire.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Fatui_Hydrogunner_Legionnaire.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Sewer Clam (palette)
ImageGen/images/teyvat/creature_visuals/anemo_hilichurl_rogue.png	art/raw/Enemy_Anemo_Hilichurl_Rogue.png	anemo_hilichurl_rogue	still_portrait	240	280	Enemy Anemo Hilichurl Rogue.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Anemo_Hilichurl_Rogue.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Byrdonis elite (palette)
ImageGen/images/teyvat/creature_visuals/ruin_guard.png	art/raw/Enemy_Ruin_Guard.png	ruin_guard	still_portrait	240	280	Enemy Ruin Guard.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Ruin_Guard.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Bygone Effigy elite
ImageGen/images/teyvat/creature_visuals/hydro_abyss_mage.png	art/raw/Enemy_Hydro_Abyss_Mage.png	hydro_abyss_mage	still_portrait	240	280	Enemy Hydro Abyss Mage.png	https://genshin-impact.fandom.com/wiki/File:Enemy_Hydro_Abyss_Mage.png	PLACEHOLDER-COPYRIGHTED	act 1 Mondstadt; dresses Phantasmal Gardener
