nation	id	name	cost	type	rarity	effect_text	block	other_effects	classification	e3_price	subsidy_engine	cluster	sheet_ref
Mondstadt	dahlia_sacramental_shower	Dahlia - Sacramental Shower	1	attack	common	Deal 6 damage to one enemy. Applies Hydro.	-	6 damage (Hydro applied)	none	-	no	A	docs/mondstadt-companions.yaml:20
Mondstadt	dahlia_favonian_favor	Dahlia - Favonian Favor	1	skill	uncommon	Gain 5 Block. Apply a Hydro aura to a random enemy.	5	Hydro aura on a RANDOM enemy	purchased	-	no	B	docs/mondstadt-companions.yaml:22
Mondstadt	fischl_nightrider	Fischl - Nightrider	1	attack	common	Deal 5 damage to one enemy. Applies Electro.	-	5 damage (Electro applied)	none	-	no	A	docs/mondstadt-companions.yaml:24
Mondstadt	fischl_oz	Fischl - Oz, at Your Side	1	power	uncommon	For 3 turns: at end of turn deal 3 damage and apply Electro to a random enemy.	-	3-turn damage summon	none	-	no	L	docs/mondstadt-companions.yaml:26
Mondstadt	barbara_melody	Barbara - Let the Show Begin♪	1	skill	common	Gain 6 Block. Gain 4 Burst Energy.	6	4 Burst Energy (meter)	purchased	-	no	K	docs/mondstadt-companions.yaml:30
Mondstadt	barbara_shining_idol	Barbara - Shining Miracle♪	1	skill	uncommon	Gain 5 Block. Apply a Hydro aura to a random enemy. Draw 1 card.	5	Hydro aura on a RANDOM enemy; draw 1	purchased	-	no	B	docs/mondstadt-companions.yaml:36
Mondstadt	sucrose_gust	Sucrose - Wind Spirit Creation	0	skill	uncommon	Swirl an enemy's aura. Draw 1 card.	-	Swirl; draw 1	none	-	no	D	docs/mondstadt-companions.yaml:41
Mondstadt	sucrose_astable	Sucrose - Astable Anemohypostasis	0	skill	uncommon	Swirl an enemy's aura. Gain 8 Burst Energy. Exhaust.	-	Swirl; 8 Burst Energy	none	-	no	D	docs/mondstadt-companions.yaml:48
Mondstadt	sucrose_catalyst_conversion	Sucrose - Catalyst Conversion	0	skill	uncommon	Gain 1 Energy. Draw 1 card. Exhaust.	-	1 Energy; draw 1	none	-	no	I	docs/mondstadt-companions.yaml:58
Mondstadt	bennett_passion	Bennett - Passion Overload	0	skill	common	Your next Attack deals 4 more damage. Gain 5 Burst Energy.	-	+4 next Attack; 5 Burst Energy	none	-	no	F	docs/mondstadt-companions.yaml:69
Mondstadt	bennett_fantastic_voyage	Bennett - Fantastic Voyage	1	skill	uncommon	Gain 3 Strength. Exhaust.	-	+3 Strength (permanent)	none	-	no	G	docs/mondstadt-companions.yaml:71
Mondstadt	kaeya_frostgnaw	Kaeya - Frostgnaw	1	attack	common	Deal 6 damage to one enemy. Applies Cryo.	-	6 damage (Cryo applied)	none	-	no	A	docs/mondstadt-companions.yaml:77
Mondstadt	diona_icy_paws	Diona - Icy Paws	1	skill	common	Gain 5 Block. Apply a Cryo aura to a random enemy.	5	Cryo aura on a RANDOM enemy	purchased	-	no	B	docs/mondstadt-companions.yaml:79
Mondstadt	albedo_solar_isotoma	Albedo - Solar Isotoma	1	power	rare	For 3 turns: your Attacks against enemies that have an aura grant 3 Block.	3 per hit	-	purchased	-	YES	H	docs/mondstadt-companions.yaml:83
Mondstadt	durin_witchs_flame	Durin - Witch's Flame	1	power	rare	At end of turn consume Pyro from each enemy; per aura consumed, deal 6 damage and gain 3 Burst Energy.	-	damage + Burst Energy per Pyro aura	none	-	no	L	docs/mondstadt-companions.yaml:85
Mondstadt	nicole_celestial_gift	Nicole - Celestial Gift	2	power	rare	At the start of each turn gain 1 Strength and 4 Block.	4 per turn	+1 Strength per turn (ratchet)	subsidized	resource, ONCE (2 Energy at play); every later turn's Block is free	no	G	docs/mondstadt-companions.yaml:87
Mondstadt	prune_witch_hunt	Prune - Little Witch's Hunt	1	skill	uncommon	Swirl an enemy's aura. If that triggered a reaction, gain 1 Spark; otherwise gain 5 Block. Gain 1 Spark.	5 (only on whiff)	Swirl; 1-2 Spark	subsidized	loss of another outcome - the Block and the reaction Spark are mutually exclusive	no	D	docs/mondstadt-companions.yaml:102
Fontaine	chevreuse_interdiction_fire	Chevreuse - Interdiction Fire	1	attack	common	Deal 7 damage to one enemy. Applies Pyro.	-	7 damage (Pyro applied)	none	-	no	A	docs/fontaine-companions.yaml:11
Fontaine	chevreuse_vanguards_valor	Chevreuse - Vanguard's Valor	0	skill	common	Your next Attack deals 3 more damage. If a reaction triggered this turn, +3 more.	-	+3 (+3) next Attack	none	-	no	F	docs/fontaine-companions.yaml:14
Fontaine	chevreuse_bursting_grenades	Chevreuse - Ring of Bursting Grenades	2	attack	uncommon	Deal 10 damage to ALL enemies. Applies Pyro.	-	10 AoE damage (Pyro applied)	none	-	no	N	docs/fontaine-companions.yaml:18
Fontaine	lynette_enigmatic_feint	Lynette - Enigmatic Feint	1	skill	common	Swirl an enemy's aura. Gain 5 Block.	5	Swirl	subsidized	UNPRICED - the Swirl and the Block both land, always	no	D	docs/fontaine-companions.yaml:23
Fontaine	lynette_box_trick	Lynette - Bogglecat Box	1	skill	common	Draw 2 cards.	-	draw 2	none	-	no	I	docs/fontaine-companions.yaml:26
Fontaine	lynette_astonishing_shift	Lynette - Magic Trick: Astonishing Shift	1	skill	uncommon	Swirl an enemy's aura. Deal 4 damage to ALL enemies (no element applied).	-	Swirl; 4 AoE damage	none	-	no	D	docs/fontaine-companions.yaml:32
Fontaine	charlotte_freezing_point	Charlotte - Framing: Freezing Point Composition	1	attack	common	Deal 4 damage to one enemy. Applies Cryo. Draw 1 card.	-	4 damage (Cryo applied); draw 1	none	-	no	I	docs/fontaine-companions.yaml:38
Fontaine	charlotte_enduring_frosthelm	Charlotte - First-Person Shutter	1	skill	common	Gain 4 Block. Gain 4 Block at the start of next turn.	4 + 4 next turn	-	purchased	-	no	C	docs/fontaine-companions.yaml:41
Fontaine	charlotte_snappy_silhouette	Charlotte - Snappy Silhouette	1	skill	uncommon	Apply Vulnerable 2 to an enemy. Draw 1 card.	-	Vulnerable 2; draw 1	none	-	no	I	docs/fontaine-companions.yaml:52
Fontaine	freminet_pers_deploy	Freminet - Pers, Deploy!	1	attack	common	Deal 6 damage to one enemy. Applies Cryo.	-	6 damage (Cryo applied)	none	-	no	A	docs/fontaine-companions.yaml:57
Fontaine	freminet_pressurized_floe	Freminet - Pressurized Floe: Backstroke	2	attack	common	Deal 10 damage to one enemy (no element applied). Gain 6 Block.	6	10 damage; Shatters a Frozen enemy	subsidized	UNPRICED - 2 Energy buys the full attack AND the full Block	no	E	docs/fontaine-companions.yaml:62
Fontaine	freminet_shattering_pressure	Freminet - Shattering Pressure	1	power	uncommon	Your Shatters deal 4 more damage.	-	+4 Shatter damage	none	-	no	O	docs/fontaine-companions.yaml:67
Fontaine	navia_cannon_fire_support	Navia - Cannon Fire Support	1	power	rare	Whenever you play a Companion card, gain 3 Block.	3 per Companion played	-	purchased	-	YES	H	docs/fontaine-companions.yaml:98
Fontaine	clorinde_impale_the_night	Clorinde - Impale the Night	2	attack	rare	Deal 20 damage to one enemy. Applies Electro. Your Attacks against enemies that have an aura deal 6 more.	-	20 damage; permanent +6 vs aura'd enemies	none	-	no	M	docs/fontaine-companions.yaml:112
Fontaine	neuvillette_ancient_sea_authority	Neuvillette - Heir to the Ancient Sea's Authority	1	power	rare	Auras you apply last 1 extra turn.	-	aura duration +1	none	-	no	O	docs/fontaine-companions.yaml:137
Fontaine	arlecchino_masque_red_death	Arlecchino - Masque of the Red Death	1	power	rare	At the start of each turn gain 1 Strength. Your Bond of Life eats the first 5 Block you gain each turn.	NEGATIVE 5 per turn	+1 Strength per turn (ratchet)	none	-	no	G	docs/fontaine-companions.yaml:154
Fontaine	guest_neuvillette_tears	Neuvillette - O Tears, I Shall Repay	1	attack	common	Deal 5 damage to one enemy. Applies Hydro.	-	5 damage (Hydro applied)	none	-	no	A	docs/fontaine-companions.yaml:212
Fontaine	guest_neuvillette_droplets	Neuvillette - Sourcewater Droplets	1	skill	common	Gain 4 Block. Apply a Hydro aura to a random enemy.	4	Hydro aura on a RANDOM enemy	purchased	-	no	B	docs/fontaine-companions.yaml:215
Fontaine	guest_neuvillette_judgment	Neuvillette - Equitable Judgment	2	attack	uncommon	Lose 3 HP. Deal 7 damage to ALL enemies. Applies Hydro.	-	7 AoE damage (Hydro applied); 3 self-damage	none	-	no	N	docs/fontaine-companions.yaml:219
Inazuma	gorou_inuzaka_charge	Gorou - Inuzaka All-Round Defense	0	attack	common	Deal 6 damage to one enemy (no element applied). Exhaust.	-	6 damage	none	-	no	A	docs/inazuma-companions.yaml:29
Inazuma	gorou_war_banner	Gorou - General's War Banner	1	skill	common	Gain 4 Block. Your next Attack deals 3 more damage.	4	+3 next Attack	purchased	-	no	F	docs/inazuma-companions.yaml:36
Inazuma	gorou_heart_of_the_clan	Gorou - Forward Unto Victory	1	skill	uncommon	Gain 3 Block. Gain Metallicize 2 (2 Block at the end of every turn).	3 + 2 per turn	-	purchased	-	no	H	docs/inazuma-companions.yaml:39
Inazuma	sayu_yoohoo_windwheel	Sayu - Yoohoo Art: Fuuin Dash	1	attack	common	Deal 4 damage to one enemy (no element applied). Swirl its aura.	-	4 damage; Swirl	none	-	no	D	docs/inazuma-companions.yaml:47
Inazuma	sayu_daruma_gift	Sayu - Muji-Muji Daruma	1	skill	common	Gain 4 Block. Gain 4 Block at the start of next turn.	4 + 4 next turn	-	purchased	-	no	C	docs/inazuma-companions.yaml:50
Inazuma	sayu_naptime	Sayu - Naptime	0	skill	uncommon	Gain 3 Block. Draw 1 card.	3	draw 1 (replaces itself)	purchased	-	no	J	docs/inazuma-companions.yaml:54
Inazuma	shinobu_sanctifying_ring	Shinobu - Sanctifying Ring	2	skill	common	Deal 3 damage to ALL enemies. Applies Electro. Gain 4 Block.	4	3 AoE damage (Electro applied)	subsidized	UNPRICED - the mass Electro application and the Block both land	no	E	docs/inazuma-companions.yaml:59
Inazuma	shinobu_grass_ring_bond	Shinobu - Grass Ring of Sanctification	0	skill	common	Gain 4 Block.	4	-	purchased	-	no	J	docs/inazuma-companions.yaml:63
Inazuma	shinobu_thundergrust	Shinobu - Thundergrust	1	attack	uncommon	Deal 7 damage to one enemy. Applies Electro.	-	7 damage (Electro applied)	none	-	no	A	docs/inazuma-companions.yaml:66
Inazuma	thoma_blazing_barrier	Thoma - Blazing Barrier	1	skill	common	Gain 5 Block. Gain 2 Block at the start of next turn.	5 + 2 next turn	-	purchased	-	no	C	docs/inazuma-companions.yaml:71
Inazuma	thoma_crimson_ooyoroi	Thoma - Crimson Ooyoroi	2	attack	uncommon	Deal 8 damage to one enemy. Applies Pyro. Gain 3 Block.	3	8 damage (Pyro applied)	subsidized	UNPRICED - 2 Energy buys the tagged attack AND the Block	no	E	docs/inazuma-companions.yaml:74
Inazuma	sara_crowfeather_cover	Kujou Sara - Crowfeather Cover	0	skill	common	Your next Attack deals 4 more damage.	-	+4 next Attack	none	-	no	F	docs/inazuma-companions.yaml:79
Inazuma	sara_tengu_stormcall	Kujou Sara - Tengu Stormcall	1	skill	uncommon	Deal 4 damage to one enemy. Applies Electro. Gain 2 Strength (2 Charge in Kokomi's hands).	-	4 damage; +2 Strength / +2 Charge	none	-	no	G	docs/inazuma-companions.yaml:82
Inazuma	itto_superlative_superstrength	Itto - Superlative Superstrength	2	attack	rare	Deal 14 damage to one enemy (no element applied). Gain 6 Block.	6	14 damage	subsidized	UNPRICED - 2 Energy buys the biggest repeatable hit AND 6 Block	no	E	docs/inazuma-companions.yaml:89
Inazuma	raiden_musou_no_hitotachi	Raiden Shogun - Musou no Hitotachi	3	attack	rare	Deal 40 damage to one enemy. Applies Electro. Apply Vulnerable 2. Exhaust.	-	40 damage; Vulnerable 2	none	-	no	M	docs/inazuma-companions.yaml:99
