citer	citer_status	cited	rule	cited_exists
docs/README.md	LIVING	docs/act2-act3-roster-research.md	bare	yes
docs/README.md	LIVING	docs/animation-sprint-2-log.md	bare	yes
docs/README.md	LIVING	docs/animation-sprint-2-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/animation-sprint-1-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/art-taste-pass.md	bare	yes
docs/README.md	LIVING	docs/archive/c3-codegen-gap-list.md	bare	yes
docs/README.md	LIVING	docs/archive/companion-art-plan-addendum.md	bare	yes
docs/README.md	LIVING	docs/archive/companion-lore-errata.md	bare	yes
docs/README.md	LIVING	docs/archive/csharp-build-spec.md	bare	yes
docs/README.md	LIVING	docs/archive/errata-m5-triage.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-fanfare-sprint-log.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-legibility-sprint-log.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-pass1-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-pass3-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-predesign-notes.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-principles-amendment-batch.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-salon-rework-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-sheet-pass-4-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-sheet-redpen.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-sprint-1-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/furina-tier05-baseline.md	bare	yes
docs/README.md	LIVING	docs/archive/icon-gap-2026-07-24.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-art-redpen-round2.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-art-redpen-round3.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-design-review.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-errata-report.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-pass-1-report.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-pass-2-report.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-pass-3-report.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-pass-4-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-r23-r25-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-session-worknote.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-survival-sprint-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/klee-survival-sprint-report.md	bare	yes
docs/README.md	LIVING	docs/archive/kokomi-roster-v0.1-report.md	bare	yes
docs/README.md	LIVING	docs/archive/kokomi-session-worknote.md	bare	yes
docs/README.md	LIVING	docs/archive/kokomi-sheetpass-v0.2-report.md	bare	yes
docs/README.md	LIVING	docs/archive/kokomi-v0.4-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/kokomi-v0.4-report.md	bare	yes
docs/README.md	LIVING	docs/archive/m7-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/m8-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/morning-triage-rulings.md	bare	yes
docs/README.md	LIVING	docs/archive/pass1-rulings-round2.md	bare	yes
docs/README.md	LIVING	docs/archive/pass2-rulings-round3.md	bare	yes
docs/README.md	LIVING	docs/archive/pass3-ratification.md	bare	yes
docs/README.md	LIVING	docs/archive/playtest-2026-07-25-coop-a0.md	bare	yes
docs/README.md	LIVING	docs/archive/relic-potion-layer-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/ship-what-we-know-sprint-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/shop-companion-channel-plan.md	bare	yes
docs/README.md	LIVING	docs/archive/shop-companion-channel-sprint-log.md	bare	yes
docs/README.md	LIVING	docs/archive/shop-companion-channel-sprint.md	bare	yes
docs/README.md	LIVING	docs/archive/sprint-addendum-art.md	bare	yes
docs/README.md	LIVING	docs/archive/tier0-simulator-spec.md	bare	yes
docs/README.md	LIVING	docs/archive/tier05-draft-sim-spec.md	bare	yes
docs/README.md	LIVING	docs/archive/tier05-m5-report.md	bare	yes
docs/README.md	LIVING	docs/archive/tier05-m8-report.md	bare	yes
docs/README.md	LIVING	docs/archive/triage-execution-report.md	bare	yes
docs/README.md	LIVING	docs/art-asset-manifest.md	bare	yes
docs/README.md	LIVING	docs/art-sprint-spec.md	bare	yes
docs/README.md	LIVING	docs/atlas/vendor-sts2-mcp.md	path	yes
docs/README.md	LIVING	docs/awaiting-user-slots-2026-08-06.md	bare	yes
docs/README.md	LIVING	docs/axis-validity-session-charter.md	bare	yes
docs/README.md	LIVING	docs/backlog-2026-07-29.md	bare	yes
docs/README.md	LIVING	docs/calibration-notes.md	bare	yes
docs/README.md	LIVING	docs/companion-value-vs-colorless-study.md	bare	yes
docs/README.md	LIVING	docs/dockets/companion-pricing.md	bare	yes
docs/README.md	LIVING	docs/dockets/engineering-backlog.md	bare	yes
docs/README.md	LIVING	docs/dockets/klee-rework.md	bare	yes
docs/README.md	LIVING	docs/dockets/kokomi-workshop.md	bare	yes
docs/README.md	LIVING	docs/dockets/watch-items.md	bare	yes
docs/README.md	LIVING	docs/epoch-1-log-2026-07-26.md	bare	yes
docs/README.md	LIVING	docs/fontaine-rares-banner-sprint-log.md	bare	yes
docs/README.md	LIVING	docs/furina-art-pass-requirements.md	bare	yes
docs/README.md	LIVING	docs/furina-kickoff-v0.1.md	bare	yes
docs/README.md	LIVING	docs/handback-note-2026-08-04.md	bare	yes
docs/README.md	LIVING	docs/klee-character-design.md	bare	yes
docs/README.md	LIVING	docs/klee-real-battery-calibration.md	bare	yes
docs/README.md	LIVING	docs/kokomi-art-pass-requirements.md	bare	yes
docs/README.md	LIVING	docs/kokomi-kickoff-v1.md	bare	yes
docs/README.md	LIVING	docs/kokomi-playtest-protocol.md	bare	yes
docs/README.md	LIVING	docs/missed-requirements.md	bare	yes
docs/README.md	LIVING	docs/open-playtest-items.md	bare	yes
docs/README.md	LIVING	docs/pending/serenitea-g3-ci-proposal.md	bare	yes
docs/README.md	LIVING	docs/pending/serenitea-g4-session-isolation.md	bare	yes
docs/README.md	LIVING	docs/red-pen-2026-07-26.md	bare	yes
docs/README.md	LIVING	docs/registry/identifiers.md	path	yes
docs/README.md	LIVING	docs/registry/known-identifiers.tsv	bare	yes
docs/README.md	LIVING	docs/registry/user-queue.md	bare	yes
docs/README.md	LIVING	docs/role-tempo-baseline.md	bare	yes
docs/README.md	LIVING	docs/role-tempo-debt.tsv	bare	yes
docs/README.md	LIVING	docs/role-tempo-floors.yaml	bare	yes
docs/README.md	LIVING	docs/role-tempo-review.tsv	bare	yes
docs/README.md	LIVING	docs/role-tempo-tagthrough.md	bare	yes
docs/README.md	LIVING	docs/roster-codegen.md	bare	yes
docs/README.md	LIVING	docs/run-model-rework-plan.md	bare	yes
docs/README.md	LIVING	docs/sitting-prep-2026-08-05.md	bare	yes
docs/README.md	LIVING	docs/sitting-record-predraft-2026-08-06.md	bare	yes
docs/README.md	LIVING	docs/sprint-axis-validity-track-a-log-2026-08-04.md	bare	yes
docs/README.md	LIVING	docs/sprint-sim-hygiene-log-2026-07-29.md	bare	yes
docs/README.md	LIVING	docs/sprint-track-b-curves-log-2026-08-04.md	bare	yes
docs/README.md	LIVING	docs/sprint-understudy-p1-log-2026-08-04.md	bare	yes
docs/README.md	LIVING	docs/sts2-map-and-events-research.md	bare	yes
docs/README.md	LIVING	docs/surplus-week-manifest-2026-08-05.md	bare	yes
docs/README.md	LIVING	docs/tech-debt-audit-2026-07-26.md	bare	yes
docs/README.md	LIVING	docs/teyvat-spire-design-principles.md	bare	yes
docs/README.md	LIVING	docs/tier05-perf-and-ironclad-act3-notes.md	bare	yes
docs/README.md	LIVING	docs/track-a-kickoff-brief.md	bare	yes
docs/README.md	LIVING	docs/track-b-curves.md	path	yes
docs/README.md	LIVING	docs/understudy-kickoff-brief.md	bare	yes
docs/README.md	LIVING	docs/understudy-p0-findings.md	bare	yes
docs/README.md	LIVING	docs/understudy-phase0-report.md	bare	yes
