file	status	in_degree_total	code	ledger	living	reference	archived	review	other
docs/README.md	LIVING	6	0	0	2	0	2	1	1
docs/a2-gate-ratification-2026-07-27.md	MISSING	10	1	1	1	0	6	0	1
docs/act2-act3-roster-research.md	MISSING	6	0	0	0	0	2	4	0
docs/animation-capability-memo.md	MISSING	3	0	0	0	0	3	0	0
docs/animation-downfall-investigation-2026-08-05.md	MISSING	2	0	0	0	0	2	0	0
docs/animation-spike-skeleton2d-kokomi-2026-08-06.md	UNBANNERED	4	1	0	2	0	0	0	1
docs/animation-sprint-1-a4-gate.png	UNBANNERED	2	0	0	0	0	2	0	0
docs/animation-sprint-1-log.md	MISSING	1	0	0	0	0	1	0	0
docs/animation-sprint-1-plan.md	MISSING	1	0	0	0	0	1	0	0
docs/animation-sprint-2-a3-intake.png	MISSING	3	0	0	1	0	2	0	0
docs/animation-sprint-2-log.md	MISSING	18	1	2	2	0	12	0	1
docs/animation-sprint-2-plan.md	LIVING	9	0	1	2	0	5	0	1
docs/archive/a2-gate-ratification-2026-07-27.md	ARCHIVED	3	2	0	1	0	0	0	0
docs/archive/act2-act3-roster-research.md	ARCHIVED	5	0	0	2	0	1	1	1
docs/archive/also-gone.md	MISSING	1	1	0	0	0	0	0	0
docs/archive/animation-capability-memo.md	ARCHIVED	5	2	0	1	0	0	0	2
docs/archive/animation-downfall-investigation-2026-08-05.md	ARCHIVED	4	2	0	0	0	0	0	2
docs/archive/animation-sprint-1-log.md	ARCHIVED	4	0	1	1	0	1	0	1
docs/archive/animation-sprint-1-plan.md	ARCHIVED	5	0	1	2	0	1	0	1
docs/archive/animation-sprint-2-log.md	ARCHIVED	5	1	0	3	0	1	0	0
docs/archive/art-taste-pass.md	ARCHIVED	3	1	0	1	0	0	0	1
docs/archive/axis-validity-countersign-2026-08-04.md	ARCHIVED	5	1	0	2	0	0	1	1
docs/archive/backlog-2026-07-29.md	ARCHIVED	6	0	0	6	0	0	0	0
docs/archive/brief-coop-charter-items.md	ARCHIVED	4	1	0	3	0	0	0	0
docs/archive/brief-kokomi-pool-fill.md	ARCHIVED	3	0	0	2	0	1	0	0
docs/archive/brief-unheard-confession-rework.md	ARCHIVED	1	0	0	1	0	0	0	0
docs/archive/c3-codegen-gap-list.md	ARCHIVED	2	0	0	1	0	0	0	1
docs/archive/calibration-notes.md	ARCHIVED	3	0	1	2	0	0	0	0
docs/archive/companion-art-plan-addendum.md	ARCHIVED	5	0	0	2	0	2	0	1
docs/archive/companion-lore-errata.md	ARCHIVED	3	0	0	1	0	1	0	1
docs/archive/companion-value-vs-colorless-study.md	ARCHIVED	4	0	0	3	0	0	0	1
docs/archive/csharp-build-spec.md	ARCHIVED	11	3	1	2	0	4	0	1
docs/archive/curtain-call-sprint-log-2026-07-27.md	ARCHIVED	2	0	0	1	0	0	0	1
docs/archive/dispatch-2026-08-06-q13-q14-q15.md	ARCHIVED	1	0	0	1	0	0	0	0
docs/archive/dispatch-2026-08-06b-eleven-replies.md	ARCHIVED	2	0	0	2	0	0	0	0
docs/archive/dispatch-2026-08-06d-four-replies.md	ARCHIVED	2	0	0	2	0	0	0	0
