# Generated by tools/lint_vendor_pin.py --write. Do not hand-edit.
# sha256	status	path   (status: upstream | gits-modified)
c07642d8f105e9f37322858b5474cb5190601ab0877e767361a4c0d33728da4c	upstream	docs/raw-full.md
e5b507484edc3be259a108d8a99703bb539cd6a6079b2bf71f1979d3e20af73c	upstream	docs/raw-simplified.md
27a2feb14cb9cc0d4e02b3ac04c222eb9e0e1eb204c784bd7209c2c8bb96ae67	upstream	LICENSE
841677de19da2803fe144c9fe882ed6746f019e93199d316b8453551602ad665	gits-modified	McpMod.Actions.cs
b7cc66231a00678f9a9888df2f0277ff64339db39c5d61df2835f858c4687524	gits-modified	McpMod.Compendium.cs
84dd1fce3cf85769dff1dc383c9a426a91965050004cb3ca8193590421159b9b	gits-modified	McpMod.cs
0a04dd232d48dbc2100724d89e270c382f08e8aded2ee78800d72244f6bef2c7	upstream	McpMod.Formatting.cs
b0967a6f434cf0d87820a9e127466b712c1676b7185c8ce0ccda6d75c3fa58ed	upstream	McpMod.Helpers.cs
b186e24a9ab2a932ed5419ddb3fa6ada65a73b650f1273e82bcac0c3257a51a2	upstream	McpMod.MultiplayerActions.cs
8d6377805df9bd080051c263686ba9776bc84efba8aa7ccec349857254d57af6	upstream	McpMod.MultiplayerState.cs
30635f3d4b3f8c152b84efa99fca2b97c3da583a04bcace5402dfa9aa0f65fb4	upstream	McpMod.Profile.cs
80ac75891fe5e64de2e20625ea59af51b4caf756662521268652cf2f79bac2e4	upstream	McpMod.SettingsUI.cs
f129670fd6ee1018f7f8ee88c52ae2f76db769ca7cc4c80cb2d2ac53fc7b20fc	gits-modified	McpMod.StateBuilder.cs
38bb52a994c7305819ad4777db07060a1f8224ed2d192951a93c3ca644fdeea4	gits-modified	McpMod.Wiki.cs
ae6fa24cb037406bfbae82aa25b86cb66b7e7080d0b6ef59a0a0a9d1b19510df	upstream	mod_manifest.json
105ceaedd029f59e3030497cd0eac55092256a3c897218cb2aa096a4925599be	upstream	README.md
ed726d0ee15681e5121ed786377a8470fa21cc87b74680cd3fbf2c8fd70285c9	upstream	STS2_MCP.csproj
